nba_id,position,first,last,height,weight,draft_year,pos1,pos2,wingspan,standing_reach
2440,Forward,Matt,Barnes,79.0,226.0,2002.0,F,,81.0,96.5
2222,Forward,Gerald,Wallace,79.0,220.0,2001.0,F,,82.76,
201156,,Nick,Young,79.0,210.0,2007.0,,,84.0,100.5
201142,Forward,Kevin,Durant,83.0,240.0,2007.0,F,,88.75,110.0
203498,Guard-Forward,Shabazz,Muhammad,78.0,221.0,2013.0,G,F,83.0,104.5
203128,Forward-Center,Furkan,Aldemir,82.0,240.0,2012.0,F,C,85.83,
203469,Forward-Center,Cody,Zeller,83.0,240.0,2013.0,F,C,82.75,106.0
201945,Guard,Gerald,Henderson,77.0,215.0,2009.0,G,,82.25,102.5
203077,Forward,Michael,Kidd-Gilchrist,78.0,232.0,2012.0,F,,84.0,104.5
101107,Forward,Marvin,Williams,80.0,237.0,2005.0,F,,87.5,108.0
202687,Center,Bismack,Biyombo,80.0,255.0,2011.0,C,,83.78,
201954,,Darren,Collison,72.0,160.0,2009.0,,,75.0,96.5
202682,,Derrick,Williams,80.0,240.0,2011.0,,,85.5,108.0
201171,Forward,Carl,Landry,81.0,248.0,2007.0,F,,83.0,102.5
201589,Forward,Darrell,Arthur,81.0,235.0,2008.0,F,,82.75,107.0
201942,Guard-Forward,DeMar,DeRozan,78.0,220.0,2009.0,G,F,81.0,102.5
202714,Guard,Shelvin,Mack,75.0,203.0,2011.0,G,,79.5,96.5
201943,Guard,Brandon,Jennings,73.0,170.0,2009.0,G,,76.62,
2406,Forward,Caron,Butler,79.0,228.0,2002.0,F,,83.5,103.5
204028,Forward-Center,Tarik,Black,81.0,250.0,,F,C,84.81,
203093,,Terrence,Jones,81.0,252.0,2012.0,,,86.25,107.0
203254,,,,,,,,,,
203492,,Ray,McCallum,75.0,190.0,2013.0,,,75.25,96.5
202399,,Jeff,Adrien,,,,,,86.0,107.5
2501,Center-Forward,Reggie,Evans,80.0,245.0,,C,F,86.5,107.5
200797,,Ryan,Hollins,84.0,240.0,2006.0,,,87.88,
203123,,Kostas,Papanikolaou,80.0,235.0,2012.0,,,83.78,
2202,Guard,Jason,Richardson,78.0,225.0,2001.0,G,,83.5,102.5
203080,Forward,Thomas,Robinson,82.0,237.0,2012.0,F,,87.25,106.0
2744,Center,Al,Jefferson,82.0,280.0,2004.0,C,,86.5,110.0
708,Forward,Kevin,Garnett,83.0,240.0,1995.0,F,,86.85,
203105,Center,Festus,Ezeli,83.0,265.0,2012.0,C,,89.75,108.0
203898,Guard,Tyler,Ennis,75.0,194.0,2014.0,G,,79.25,98.0
203917,Guard,Nik,Stauskas,78.0,207.0,2014.0,G,,79.75,102.0
202689,,Kemba,Walker,72.0,184.0,2011.0,,,75.5,91.5
203148,Guard,Brian,Roberts,73.0,173.0,,G,,73.25,95.0
2457,,Jannero,Pargo,73.0,185.0,,,,74.5,96.0
1889,,,,,,,,,,
2742,,Sebastian,Telfair,72.0,170.0,2004.0,,,75.59,
203462,Guard,Archie,Goodwin,77.0,205.0,2013.0,G,,81.5,102.0
203798,Forward-Guard,PJ,Hairston,78.0,230.0,2014.0,F,G,81.0,101.0
202390,,Gary,Neal,76.0,210.0,,,,79.69,
203926,Forward,Doug,McDermott,78.0,225.0,2014.0,F,,81.25,103.0
101131,Forward,Jason,Maxiell,79.0,260.0,2005.0,F,,87.25,107.0
202355,Center,Hassan,Whiteside,84.0,265.0,2010.0,C,,91.0,113.0
201563,,Michael,Beasley,81.0,235.0,2008.0,,,84.25,107.0
202362,Forward,Lance,Stephenson,77.0,210.0,2010.0,F,,82.5,103.0
203932,Forward,Aaron,Gordon,80.0,235.0,2014.0,F,,83.75,105.0
203489,,Nate,Wolters,76.0,190.0,2013.0,,,75.75,98.0
203950,,Jarnell,Stokes,81.0,255.0,2014.0,,,85.25,103.5
202734,Guard,E'Twaun,Moore,75.0,191.0,2011.0,G,,81.5,99.5
203539,,Gal,Mekel,75.0,191.0,,,,78.66,
2400,Forward,Drew,Gooden,82.0,250.0,2002.0,F,,84.5,106.5
204020,,Tyler,Johnson,75.0,186.0,,,,78.66,
201611,Forward,Henry,Walker,78.0,235.0,2008.0,F,,81.73,
203106,,Jeffery,Taylor,,,2012.0,,,78.25,101.5
202379,Forward,Jeremy,Evans,81.0,200.0,2010.0,F,,84.81,
203144,Guard,Alexey,Shved,78.0,187.0,,G,,81.73,
101183,,Shavlik,Randolph,82.0,236.0,,,,85.83,
530027,,,,,,,,,,
203937,Forward-Guard,Kyle,Anderson,81.0,230.0,2014.0,F,G,86.75,107.5
101128,,Francisco,Garcia,79.0,215.0,2005.0,,,82.75,103.0
201604,,Chris,Douglas-Roberts,79.0,210.0,2008.0,,,84.5,109.0
202407,Guard-Forward,Elijah,Millsap,79.0,215.0,,G,F,82.76,
201858,Forward,Cartier,Martin,79.0,220.0,,F,,82.0,103.5
203540,Forward,Gigi,Datome,80.0,215.0,,F,,83.78,
203991,Center,Clint,Capela,82.0,256.0,2014.0,C,,85.83,
202327,Center-Forward,Ekpe,Udoh,82.0,245.0,2010.0,C,F,88.5,106.5
201964,,Victor,Claver,,,2009.0,,,,
201937,Guard,Ricky,Rubio,74.0,190.0,2009.0,G,,77.64,
201593,Center,Nikola,Pekovic,83.0,307.0,2008.0,C,,86.85,
203296,,,,,,,,,,
203141,,Mirza,Teletovic,81.0,242.0,,,,84.81,
2755,Guard,Kevin,Martin,79.0,199.0,2004.0,G,,82.76,
203546,Guard,Ian,Clark,75.0,175.0,,G,,78.66,
203511,Forward,Grant,Jerrett,82.0,232.0,2013.0,F,,86.0,109.0
202952,,Malcolm,Thomas,81.0,225.0,,,,84.5,107.5
2422,,John,Salmons,78.0,210.0,2002.0,,,82.25,104.0
101109,Guard,Raymond,Felton,73.0,205.0,2005.0,G,,76.25,98.0
203910,Guard,Nick,Johnson,75.0,202.0,2014.0,G,,79.25,96.5
203099,,Jared,Cunningham,76.0,195.0,2012.0,,,78.5,98.0
101236,,Chuck,Hayes,78.0,240.0,,,,81.73,
1905,,Andrei,Kirilenko,81.0,235.0,1999.0,,,84.81,
203268,Guard,Jorge,Gutierrez,75.0,189.0,,G,,78.66,
203580,Guard,Larry,Drew II,74.0,180.0,,G,,77.64,
203943,,Noah,Vonleh,82.0,257.0,2014.0,,,88.25,108.0
203805,,Will,Cherry,,,,,,,
203939,Forward-Center,Dwight,Powell,82.0,240.0,2014.0,F,C,84.5,105.0
203940,,Adreian,Payne,82.0,237.0,2014.0,,,88.0,109.0
101142,,Ronny,Turiaf,82.0,249.0,2005.0,,,85.5,106.5
203946,Forward-Center,Cameron,Bairstow,81.0,250.0,2014.0,F,C,84.75,107.0
203098,Guard,John,Jenkins,76.0,215.0,2012.0,G,,80.5,98.0
203564,Guard,Kalin,Lucas,73.0,195.0,,G,,76.62,
203187,Forward,Chris,Johnson,78.0,206.0,,F,,81.73,
2030,,,,,,,,,,
200745,,Andrea,Bargnani,84.0,245.0,2006.0,,,87.88,
203318,,Glen,Rice,78.0,206.0,2013.0,,,81.25,101.5
203933,Forward,T.J.,Warren,80.0,220.0,2014.0,F,,82.25,104.0
203485,,Lorenzo,Brown,77.0,189.0,2013.0,,,79.0,100.0
203945,,Alex,Kirk,84.0,245.0,,,,87.5,109.5
204079,,Drew,Gordon,81.0,245.0,,,,83.5,103.5
202343,,Elliot,Williams,77.0,190.0,2010.0,,,80.71,
202235,,,,,,,,,,
203906,Forward,Devyn,Marble,78.0,200.0,2014.0,F,,81.0,102.0
201880,Center,Greg,Stiemsma,83.0,260.0,,C,,86.85,
203512,Center,Lucas,Nogueira,84.0,220.0,2013.0,C,,87.88,
2853,Forward-Center,Earl,Barron,84.0,250.0,,F,C,87.88,
1737,Center,Nazr,Mohammed,82.0,250.0,1998.0,C,,85.83,
203949,,James Michael,McAdoo,81.0,230.0,,,,84.81,
203121,,Darius,Miller,78.0,225.0,2012.0,,,81.0,101.0
202706,Guard-Forward,Jordan,Hamilton,79.0,220.0,2011.0,G,F,81.5,104.0
204054,Guard-Forward,Zoran,Dragic,77.0,200.0,,G,F,80.71,
203565,,Patrick,Christopher,,,,,,,
203958,,Andre,Dawkins,77.0,219.0,,,,80.71,
203545,,Miroslav,Raduljica,84.0,250.0,,,,87.88,
203998,,Bruno,Caboclo,81.0,218.0,2014.0,,,84.81,
203961,Forward-Center,Eric,Moreland,82.0,238.0,,F,C,85.83,
203944,Forward-Center,Julius,Randle,80.0,250.0,2014.0,F,C,84.0,105.5
203495,Guard,Ricky,Ledo,79.0,195.0,2013.0,G,,79.25,102.5
203315,,Toure',Murry,77.0,195.0,,,,80.71,
